username,full_text,clean_text,dominant_topic,topic_label,topic_prob,prob_topik_0,prob_topik_1,prob_topik_2,prob_topik_3,prob_topik_4,prob_topik_5
umarsaid7227,"@ShopeeCare 

Nomer pesanan
26052376HBK6U1

Username 

umarsaid592 https://t.co/e2fzH7B7IB",_n_o_m_o_r_ _p_e_s_a_n_a_n_ 26052376hbk6u1 username umarsaid592,5,Penawaran Bantuan Resolusi,0.7911405048661961,0.04166668978997077,0.04184902161110912,0.041822164050433985,0.04166667678327147,0.04185494289901852,0.7911405048661961
chocolutch,@ShopeeCare minn cek dm ya,minn cek dm ya,2,Pengecekan via Direct Message,0.7911700448450995,0.04166667148537508,0.04184893287821422,0.7911700448450995,0.04169828827055361,0.041716152514081443,0.04189991000667629
EdtzOchiro,"kurir² lu pada jelek bgt, ga on time. @ShopeeCare",kurir² kamu pada jelek banget tidak_on time,3,Durasi Pengiriman Barang,0.7886658253135153,0.04295130032741863,0.04166669596208807,0.042678155484278675,0.7886658253135153,0.041679232361232416,0.04235879055146694
ShopeeID,"@Macchiatolalala @ShopeeCare Hi kak Macchiatolalala , maaf ya terkait kendala yg kamu alami. Agar bisa aku bantu pengecekan kendala kamu, mohon menghubungi aku melalui DM Sosial media twitter Kami @ShopeeID dengan mengirimkan Detail kendala ya kak. aku tunggu ^KY",hi kakak macchiatolalala maaf ya terkait kendala yang kamu alami agar bisa aku bantu pengecekan kendala kamu mohon menghubungi aku _m_e_l_a_l_u_i_ _d_m_ sosial media twitter kami dengan mengirimkan detail kendala ya kakak aku tunggu kayak,5,Penawaran Bantuan Resolusi,0.9307621843165271,0.005088089176145016,0.04895893205674407,0.005074022388116767,0.005059599749634215,0.005057172312832709,0.9307621843165271
ShopeeCare,@Macchiatolalala Hi Kak Macchiatolalala mohon maaf terkait dengan kendala yang Kakak alami untuk dapat aku bantu cek boleh hubungi aku di DM X @ShopeeCare ya Kak. Terima Kasih^JK,hi kakak macchiatolalala _m_o_h_o_n_ _m_a_a_f_ terkait dengan kendala yang kakak alami untuk dapat aku bantu cek boleh hubungi aku di dm x ya kakak _t_e_r_i_m_a_ _k_a_s_i_h_ jk,5,Penawaran Bantuan Resolusi,0.7114631068671163,0.006764255875246242,0.2616167571169564,0.006741080992988149,0.00669769059312274,0.0067171085545702,0.7114631068671163
hellowitsmie,@ShopeeCare CEK DM @ShopeeCare,cek dm,2,Pengecekan via Direct Message,0.7219402745807991,0.05555556209697933,0.055642614332094484,0.7219402745807991,0.055555558721156265,0.055585505758824434,0.05572048451014632
httpsjawa,@ShopeeCare min cek dm,min cek dm,2,Pengecekan via Direct Message,0.7914494827910267,0.041666672621354726,0.041707588095240854,0.7914494827910267,0.0416667187193709,0.04176805554252305,0.04174148223048376
simudft_,@ShopeeCare @httpsjawa Min bales akuu🥺,min balas akuu,2,Pengecekan via Direct Message,0.7220374053101911,0.055555585178797634,0.0555555685170635,0.7220374053101911,0.05555567239970267,0.05574019941089371,0.05555556918335138
meowbiuu,ini spx kalo minggu emang tutup yah mint 💔 @ShopeeCare @ShopeeID,ini _s_h_o_p_e_e_ _e_x_p_r_e_s_s_ kalau minggu memang tutup yah mint,3,Durasi Pengiriman Barang,0.543871790957421,0.3223201251479993,0.033333353690587375,0.03333339702030079,0.543871790957421,0.03380797777175201,0.033333355411939575
Macchiatolalala,"@ShopeeCare Tolong😭 aku salah top up shopee ke nokor orang lain, nomornya ditelfon gak aktif 
@ShopeeCare @ShopeeID",tolong aku salah top up shopee ke nokor orang lain nomornya ditelfon tidak_aktif,3,Durasi Pengiriman Barang,0.7690391306826442,0.15633730020750614,0.018522689031376074,0.018656130874236197,0.7690391306826442,0.018730806616063935,0.018713942588173344
dansetyabudi,Min @ShopeeCare kalau keterangannya gini berarti bisa kartu debit &amp; kredit atau hanya bisa pakai kartu kredit aja ya? https://t.co/t3yrBgLvtJ,min kalau keterangannya begini berarti bisa kartu debit amp kredit atau hanya bisa pakai kartu kredit saja ya,3,Durasi Pengiriman Barang,0.4771534724853713,0.15033528038266267,0.015197655550735812,0.3268097476841118,0.4771534724853713,0.015200350030006004,0.015303493867112395
niwidyaningrum,@yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare Di tokped yang jual palsu bahkan pake label mall. Makanya kayaknya kemarin sempet rame ada toko label mall (antara onitsuka atau asics) dinon-aktifkan karena rupanya bukan official,di tokopedia yang jual palsu bahkan pakai label mall makanya sepertinya kemarin sempet rame ada toko label mall antara onitsuka atau asics dinon aktifkan karena rupanya bukan_official,3,Durasi Pengiriman Barang,0.5941631196285881,0.01691788194800282,0.016673499171978086,0.20298212048023698,0.5941631196285881,0.15254824248045176,0.016715136290742276
umarsaid7227,"@ShopeeCare Hati hati belanja di sophee, beli kloset duduk pakai packing kayu hancur, komplain di aplikasi dipersulit disuruh antar barang hancur sendiri ke kantor expedisi nya JNE trucking entah di mana. Uang saya malah hilang tidak jelas, waktu habis percuma tiap hari chat sama cs sophee https://t.co/R9c7lZ96Md",hati hati belanja di sophee beli kloset duduk pakai packing kayu hancur keluhan di aplikasi dipersulit disuruh antar barang hancur sendiri ke kantor expedisi nya jne trucking entah di mana uang saya malah hilang tidak_jelas waktu habis percuma tiap hari chat sama cs sophee,3,Durasi Pengiriman Barang,0.5489477929870499,0.2182462828852729,0.006174324156797019,0.006211365674513144,0.5489477929870499,0.2142370676198503,0.00618316667651673
ShopeeCare,"@taebong_ @ShopeePay_ID Haii kak taebong_ , maaf ya udh bikin km kecewa terkait kendalamu . Biar bisa Aku bantu cek kendalanya infoin ke aku Username , SS kendala dan detail kendala kakak boleh colek Aku di DM @ShopeeCare  ya kak. Ditunggu ^RS",haii kakak taebong_ maaf ya sudah membuat kamu kecewa terkait kendalamu biar bisa aku bantu cek kendalanya informasikan ke aku username screenshot kendala dan detail kendala kakak boleh colek aku di dm ya kakak ditunggu rs,5,Penawaran Bantuan Resolusi,0.9738500787917695,0.005218687826410789,0.005226122312237055,0.005254576031015185,0.00522668930400565,0.005223845734561745,0.9738500787917695
Ciaachi1,@its_belllla @ShopeeCare eh akun bodong dilarang komen ya ajg gua gak nanya lu,eh akun bodong dilarang komen ya ajg saya tidak_bertanya kamu,2,Pengecekan via Direct Message,0.476721434460374,0.17294666938314537,0.033478756072985234,0.476721434460374,0.033697967781534985,0.24946972729214154,0.03368544500981881
Ciaachi1,@mumun664767 @ShopeeCare YEHHH PRET PENIPUAN,yehh pret penipuan,0,Operasional Kurir dan Transaksi Pengiriman,0.5831603630929899,0.5831603630929899,0.08333338077982448,0.08333347892979177,0.08350599509656127,0.08333339804609685,0.08333338405473573
taebong_,"@ShopeeCare @ShopeePay_ID Udah nunggu lebih dari 1x24 jam sesuai arahan CS  + isi form tapi uang aku masih ketahan nyangkut disini, bagaimana solusinya ? tolong tindak lanjutnya segeraaa 😔",sudah nunggu lebih dari 1x24 jam sesuai arahan cs isi form tapi uang aku masih ketahan tersangkut disini bagaimana solusinya tolong _t_i_n_d_a_k_ _l_a_n_j_u_t_nya segeraa,4,Keluhan Status Pelacakan,0.6774608272836475,0.01282819219525811,0.012896229520924061,0.012833724750381338,0.27101562440569443,0.6774608272836475,0.012965401844094532
nutellakejuw,Gendeng iki shopee wong aku cuma jualan sabun batang kok pemalsuan pesanan ki opoo stressss @ShopeeCare https://t.co/yEydMYFnCC,gendeng iki shopee wong aku cuma jualan sabun batang kok pemalsuan pesanan ki opoo stress,3,Durasi Pengiriman Barang,0.8604675730558299,0.02785717720097569,0.02777779213122726,0.02777782243106636,0.8604675730558299,0.027777829580562553,0.02834180560033824
sweetypiee42,@chells_yaa @JazelynN70699 @ShopeeCare @ShopeeID udah sampe belum ka,_s_u_d_a_h_ _s_a_m_p_a_i_ belum_kakak,3,Durasi Pengiriman Barang,0.5828263858470002,0.0833335727745337,0.08383943768550312,0.08333365283704872,0.5828263858470002,0.08333350959643761,0.0833334412594767
jauhjauhkamuu,@ShopeeCare @ShopeeID di dm ya min?,di dm ya min,2,Pengecekan via Direct Message,0.832744726120938,0.0334061476907038,0.0334143511842951,0.832744726120938,0.03345329147697811,0.03351171752087812,0.0334697660062069
ShopeeID,"@shobas_tian @ShopeeCare @Shopee_Expres Hai kak shobas_tian , maaf ya buat nunggu, Aku akan meluncur ke DM kamu yaa kak, mohon kesediannya untuk menunggu. terima kasih ^KY",hai kakak shobas_tian maaf ya buat nunggu aku akan meluncur ke dm kamu ya kakak mohon kesediannya untuk menunggu _t_e_r_i_m_a_ _k_a_s_i_h_ kayak,1,Protokol Standar Customer Service,0.5214083293881858,0.008797180185804464,0.5214083293881858,0.008925589377677191,0.008791518818892613,0.0088326229965371,0.4432447592329029
Cosxminsin,"@yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare Ajukan pengembalian sesuai kondisi awal, no video no pictures.",ajukan pengembalian sesuai kondisi awal nomor video nomor pictures,1,Protokol Standar Customer Service,0.7217481498992808,0.055683467138873864,0.7217481498992808,0.05555559052304198,0.055555567143382056,0.05590165403491954,0.05555557126050175
bp_bryan,"@ShopeeID @ShopeeCare biannolshop_ ,itu sudah 4 bulan tidak bisa dipakai setiap bulan begitu https://t.co/4VyR6aThGA",biannolshop_ itu sudah 4 bulan tidak_bisa dipakai setiap bulan begitu,3,Durasi Pengiriman Barang,0.8956881300889601,0.020838273084086364,0.02087102685510103,0.020833365218934696,0.8956881300889601,0.02090535083487808,0.020863853918039757
jilanjaisy,@yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare tapi Shopee tu mihak pembeli bgt bg😂. salah satu alasan gw pindah ke shopee ya gitu,tapi shopee tu mihak pembeli banget bg salah satu alasan saya pindah ke shopee ya begitu,3,Durasi Pengiriman Barang,0.9300330791679312,0.013904617673489656,0.013950793885258037,0.014006315260789671,0.9300330791679312,0.014067887462708333,0.014037306549823008
hanyiehae,@ShopeeCare woi ini knp seller centernya gak bisa diload min https://t.co/Vc2le8ecpe,woi ini kenapa seller centernya tidak_bisa diload min,4,Keluhan Status Pelacakan,0.5862471015777498,0.027802284816682964,0.027777790869085123,0.02798771260780442,0.3024073179583178,0.5862471015777498,0.027777792170359843
deviamrp,@ShopeeCare balas dm,balas dm,2,Pengecekan via Direct Message,0.722150712859349,0.05555558133845329,0.05555556691044696,0.722150712859349,0.05555556642826591,0.05555557009480262,0.055627002368682336
ShopeeID,"@bp_bryan Hi kak bp_bryan , maaf ya sudah buat kmu khawatir terkait kendala yang kakka alami. Agar bisa aku bantu, infoin ke aku detail kendala kamu dan sreenshot kendala kamu ke aku melalui resmi X @ShopeeID/@ShopeeCare yaa. Stay safe ^NV",hi kakak bp_bryan maaf ya sudah buat kamu khawatir terkait kendala yang kakka alami agar bisa aku bantu informasikan ke aku detail kendala kamu dan screenshot kendala kamu ke aku melalui resmi x ya _s_t_a_y_ _s_a_f_e_ nv,5,Penawaran Bantuan Resolusi,0.9746648062945215,0.005076388500755261,0.005062080788925135,0.005074245802885181,0.005063466861347128,0.005059011751565801,0.9746648062945215
shobas_tian,@ShopeeCare @Shopee_Expres @ShopeeID Saya sudah dm,saya sudah dm,4,Keluhan Status Pelacakan,0.5410433711888729,0.04169265937798303,0.04186987218076813,0.29153498632957353,0.041881508784162635,0.5410433711888729,0.041977602138639734
diameler,"@adit88088 @ShopeeID @YLKI_ID Semoga kasus ini ditindaklanjuti dengan adil. Barang hilang seharusnya menjadi tanggung jawab pihak ekspedisi / SPX dan penggantian tidak hanya berdasarkan ongkir, tetapi juga mempertimbangkan nilai barang yang hilang. @ShopeeCare @ShopeeID",semoga kasus ini ditindaklanjuti dengan adil _b_a_r_a_n_g_ _h_i_l_a_n_g_ seharusnya menjadi tanggung jawab pihak ekspedisi _s_h_o_p_e_e_ _e_x_p_r_e_s_s_ dan penggantian tidak_hanya berdasarkan _o_n_g_k_o_s_ _k_i_r_i_m_ tetapi juga mempertimbangkan nilai barang yang hilang,0,Operasional Kurir dan Transaksi Pengiriman,0.9400538670856562,0.9400538670856562,0.011907080131504764,0.011948981598646958,0.012122408432864832,0.012053047101281213,0.011914615650045899
duingy,"halo, @ShopeeCare. saya mau cetak resi, tapi kayak begini terus.. ini kenapa, ya? udah 10 menit lebih, nggak keluar juga nomer resinya. mohon bantuannya ya. https://t.co/WlvWOSxmDF",halo saya mau cetak _n_o_m_o_r_ _r_e_s_i_ tapi seperti begini terus ini kenapa ya sudah 10 menit lebih tidak_keluar juga nomor _n_o_m_o_r_ _r_e_s_i_ mohon bantuannya ya,4,Keluhan Status Pelacakan,0.6909870623156714,0.007588739743353054,0.16439022205259285,0.007619333834795068,0.12179697778647126,0.6909870623156714,0.007617664267116136
ShopeeCare,"@shobas_tian @Shopee_Expres @ShopeeID Hi kak shobas_tian maaf bikin resah mengenai pesanan kakak belum diterima. Agar aku bisa bantu lebih lanjut boleh infoin detail kendala, no pesanan dan username ke DM @ShopeeCare. Terima kasih^NK",hi kakak shobas_tian maaf membuat resah mengenai pesanan kakak belum_diterima agar aku bisa bantu _l_e_b_i_h_ _l_a_n_j_u_t_ _b_o_l_e_h_ informasikan detail kendala _n_o_m_o_r_ _p_e_s_a_n_a_n_ dan username ke dm _t_e_r_i_m_a_ _k_a_s_i_h_ nk,5,Penawaran Bantuan Resolusi,0.967763514051835,0.006418376903281346,0.006539695787020432,0.006443559555446284,0.006416596272356021,0.00641825743006087,0.967763514051835
zipper_clutch,@saminkarto @yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare Ya elunya aja yg tolol belinya ditoko yg ada embel2 mallnya idiot wkwkwk,ya elunya saja yang tolol belinya ditoko yang ada embel2 mallnya idiot wkwkwk,3,Durasi Pengiriman Barang,0.8594573502737196,0.028036610321755,0.02810603101297068,0.028303435238593192,0.8594573502737196,0.02790530330763833,0.028191269845323202
ShopeeID,"@nauvanzam Hi kak nauvanzam, maaf ya sudah buat kmu gak nyaman terkait kendala pesanan kamu. Agar bisa aku bantu, infoin ke aku username shopee dan nomor pesanan kamu ke aku melalui resmi X @ShopeeID/@ShopeeCare yaa. Stay safe ^NV",hi kakak nauvanzam maaf ya sudah buat kamu tidak_nyaman terkait kendala pesanan kamu agar bisa aku bantu informasikan ke aku username shopee dan _n_o_m_o_r_ _p_e_s_a_n_a_n_ kamu ke aku melalui resmi x ya _s_t_a_y_ _s_a_f_e_ nv,5,Penawaran Bantuan Resolusi,0.9746707841816574,0.005071280127237222,0.005063824927084219,0.005071915236806219,0.0050621307203129896,0.005060064806901988,0.9746707841816574
_masbaim_,"@saminkarto @yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare Goblok sih beli kahf smpe dpt palsu di shopemall sdh jls. 
Shope beli dr harga puluhan ribu sampai jutaan dr bermasalah smpe sekedar retur semua beres uang kembali 100%",goblok beli kahf sampai dapat palsu di shopemall sudah jls shope beli dari harga puluhan ribu sampai jutaan dari bermasalah sampai sekedar retur semua beres uang kembali 100,4,Keluhan Status Pelacakan,0.5684179676967442,0.10895995628822529,0.011966093903062969,0.011924030443873041,0.28680293062615725,0.5684179676967442,0.011929021041937089
saminkarto,@yajujdanmajuj @MediaKonsumenID @ShopeeID @ShopeeCare Iya malah lebih parah shopee njir. Goblok emang dia. Bayangin ya skincare 30 ribuan di shopee aja di kawe in anjir. Sumpah gw beli kahf facial wash dapatnya kw.,iya malah lebih parah shopee njir goblok memang dia bayangkan ya skincare 30 ribuan di shopee saja di kawe in anjir sumpah saya beli kahf facial wash dapatnya kw,3,Durasi Pengiriman Barang,0.9401069391682831,0.01192002633807185,0.011965083649478216,0.011979914139232994,0.9401069391682831,0.012034747938578049,0.011993288766355754
ShopeeCare,"@jauhjauhkamuu @ShopeeID Hi kak jauhjauhkamuu , maaf ya sudah buat kmu khawatir terkait kendala yang kakka alami. Agar bisa aku bantu, infoin ke aku detail kendala kamu dan sreenshot kendala kamu ke aku melalui resmi X @ShopeeID/@ShopeeCare yaa. Stay safe ^NV",hi kakak jauhjauhkamuu maaf ya sudah buat kamu khawatir terkait kendala yang kakka alami agar bisa aku bantu informasikan ke aku detail kendala kamu dan screenshot kendala kamu ke aku melalui resmi x ya _s_t_a_y_ _s_a_f_e_ nv,5,Penawaran Bantuan Resolusi,0.9746648062945215,0.005076388500755261,0.005062080788925135,0.005074245802885181,0.005063466861347128,0.005059011751565801,0.9746648062945215
rvne16,"@arrasyyyy @ShopeeID @ShopeeCare kok kaya scam sih kak ... apalagi pake klik link, hati2 yaaaaah",kok seperti penipuan kakak apalagi pakai klik link hati2 yaah,3,Durasi Pengiriman Barang,0.6959230736587444,0.028456675127377918,0.028226001176058307,0.1914548106033375,0.6959230736587444,0.027780895396457818,0.028158544038023973
arrasyyyy,Ini maksudnya apa yaa kenapa akun ku tiba2 dibatasi @ShopeeID @ShopeeCare https://t.co/uxBITfEr3m,ini maksudnya apa ya kenapa akun ku tiba2 dibatasi,4,Keluhan Status Pelacakan,0.5585163764453205,0.02421524849749618,0.02401101484289073,0.024094749493313496,0.34509808193868313,0.5585163764453205,0.024064528782295962
jauhjauhkamuu,hallo @ShopeeID @ShopeeCare apakah akun saya akan baik baik saja?,hallo apakah akun saya akan baik baik saja,3,Durasi Pengiriman Barang,0.42676575654028426,0.024063021775148616,0.024000206949543267,0.39298557773777154,0.42676575654028426,0.10835909710639939,0.02382633989085293
alvionita_efr,@shopeecare cek dm!,cek dm,2,Pengecekan via Direct Message,0.7219402745807991,0.05555556209697933,0.055642614332094484,0.7219402745807991,0.055555558721156265,0.055585505758824434,0.05572048451014632
jauhjauhkamuu,"hallo @ShopeeID @ShopeeCare apakah ini official dari shopee nya langsung atau bukan? soalnya saya menanyakan hal tsb kepada cs namun katanya bukan. lalu pesannya saya abaikan&amp;saya hps, ttpi saya mendapatkan pesan yg lain yg tidak saya ss dan lgsg saya hps. mhon ditindaklanjuti🙏🏻 https://t.co/qPNJRDS6uG",hallo apakah ini official dari shopee nya langsung atau bukan_soalnya saya menanyakan hal tersebut kepada cs namun katanya bukan_lalu pesannya saya abaikan amp saya hps ttpi saya mendapatkan pesan yang lain yang tidak_saya screenshot dan langsung saya hps mhon ditindaklanjuti,4,Keluhan Status Pelacakan,0.5749250187170843,0.29197675797879524,0.007587237367744483,0.007637432957180545,0.0076595654842532964,0.5749250187170843,0.11021398749494217
hwangghynjin,"kindly cek dm min @ShopeeCare 
thank you",kindly cek dm min thank you,2,Pengecekan via Direct Message,0.5980625914215176,0.03333337895005939,0.03336729590182078,0.5980625914215176,0.03333339010817294,0.26850810728578195,0.03339523633264723
ShopeeID,"@Jhund_jq Hai kak Jhund_jq, maaf ya udah buat risau terkait kendala yang kakak alami. Agar dapat kami prioritaskan pengecekan, infoin kendala kamu melalui DM ke Media Sosial @shopeeID / @shopeecare ya kak, Stay safe ^ME",hai kakak jhund_jq maaf ya sudah buat risau terkait kendala yang kakak alami agar dapat kami prioritaskan pengecekan informasikan kendala kamu _m_e_l_a_l_u_i_ _d_m_ ke media sosial ya kakak _s_t_a_y_ _s_a_f_e_ me,5,Penawaran Bantuan Resolusi,0.9103526199855178,0.005775028476608628,0.06658738923495379,0.0057732630291912205,0.005757302162747625,0.005754397110981076,0.9103526199855178
racketnyamuk_,check dm @ShopeeCare,check dm,2,Pengecekan via Direct Message,0.5830748690403805,0.08333334125731463,0.08333333690064425,0.5830748690403805,0.08333333680548116,0.08333333799188271,0.08359177800429674
MediaKonsumenID,"@grok jelaskan kronologi keluhannya, kenapa dana penjualan seller bisa ditahan melewati batas waktu yang sudah ditetapkan oleh platform sendiri, dan bagaimana mekanisme pelepasan dana di program export Shopee? Teruskan surat ini ke @ShopeeID @ShopeeCare https://t.co/HGdrit2SRd",jelaskan kronologi keluhannya kenapa dana penjualan seller bisa ditahan melewati batas waktu yang sudah ditetapkan oleh platform sendiri dan bagaimana mekanisme pelepasan dana di program export shopee teruskan surat ini ke,0,Operasional Kurir dan Transaksi Pengiriman,0.37470199383844816,0.37470199383844816,0.00982052227696064,0.009845813315031149,0.33685111356351116,0.25887623463917064,0.009904322366878293
ShopeeID,"@_bunnygurls Haii kak _bunnygurls  , maaf ya udh bikin km kecewa terkait kendalamu . Biar Aku bisa bantu cek kendalanya infoin ke aku  detail kendala kakak boleh colek Aku di DM @ShopeeID / @ShopeeCare   ya kak. Dtunggu ^LI",haii kakak _bunnygurls maaf ya sudah membuat kamu kecewa terkait kendalamu biar aku bisa bantu cek kendalanya informasikan ke aku detail kendala kakak boleh colek aku di dm ya kakak dtunggu li,5,Penawaran Bantuan Resolusi,0.9689949455678883,0.006182747771979099,0.006193615638511326,0.006239467816427221,0.0061973105727961145,0.006191912632397867,0.9689949455678883
aisyhlstri,Cek DM @ShopeeCare,cek dm,2,Pengecekan via Direct Message,0.7219402745807991,0.05555556209697933,0.055642614332094484,0.7219402745807991,0.055555558721156265,0.055585505758824434,0.05572048451014632
robbers__khai,@ShopeeCare min baca dm ku dong,min baca dm ku,2,Pengecekan via Direct Message,0.48186639094480405,0.0416668171295938,0.04166673223868995,0.48186639094480405,0.04223926001358596,0.3508319451532421,0.041728854520084166
itchindy,@yoona_alyssa @ShopeeID @ShopeeCare Kok layanannya ga aktif?,kok layanannya tidak_aktif,3,Durasi Pengiriman Barang,0.5833329513484763,0.08333347536886299,0.08333336704169567,0.08333343902574156,0.5833329513484763,0.08333339713315899,0.08333337008206437
ShopeeID,"@2jaejnxx Hai Kak 2jaejnxx, maaf ya udah bikin kamu risau terkait kendala pesanan kamu. Agar aku bisa bantu cek, boleh infoin username dan nomor pesanan terkendala kakak ke DM X @ShopeeID atau @ShopeeCare yaa. Aku tunggu ^ZP",hai kakak 2jaejnxx maaf ya sudah membuat kamu risau terkait kendala pesanan kamu agar aku bisa bantu cek boleh informasikan username dan _n_o_m_o_r_ _p_e_s_a_n_a_n_ terkendala kakak ke dm x atau ya aku tunggu zp,5,Penawaran Bantuan Resolusi,0.9729990854024524,0.005394860074745147,0.0053981579367967936,0.005435203137754435,0.005385589124098148,0.0053871043241530865,0.9729990854024524
ShopeeID,"@leejen_o_480 @ShopeeCare Hai Kak leejen_o_480. Aku segera meluncur ke DM ya, mohon kesediaanya untuk menunggu dan cek DM kamu secara berkala. Stay Safe ^UA",hai kakak leejen_o_480 aku segera meluncur ke dm ya mohon kesediaanya untuk menunggu dan cek dm kamu secara berkala _s_t_a_y_ _s_a_f_e_ ua,2,Pengecekan via Direct Message,0.6521489691388246,0.009306125618199683,0.009326106599768574,0.6521489691388246,0.009277295865594115,0.009279306493481083,0.3106621962841319
ShopeeCare,"@ncklss_ Hai kak ncklss_, maaf ya udah buat kamu ga nyaman karena kendala yg kamu alami. Biar bisa aku bantu pengecekan, kamu bisa infoin username dan no pesanan km ke DM Social Media kita @shopeeID/@shopeecare ya Kak. Semoga kendala km dapat segera terselesaikan yaa kak. Sehat selalu^CN",hai kakak ncklss_ maaf ya sudah buat kamu tidak_nyaman karena kendala yang kamu alami biar bisa aku bantu pengecekan kamu bisa informasikan username dan _n_o_m_o_r_ _p_e_s_a_n_a_n_ kamu ke dm social media kita ya kakak semoga kendala kamu dapat segera terselesaikan ya kakak _s_e_h_a_t_ _s_e_l_a_l_u_ cn,5,Penawaran Bantuan Resolusi,0.8719650171889017,0.0038981191598905633,0.0038940119840379793,0.11246072769127749,0.003895302052231057,0.0038868219236611614,0.8719650171889017
